t_c2_hvps_111_001_01	客户发起汇兑业务报文
t_c2_hvps_112_001_01	金融机构发起汇兑业务报文
t_c2_hvps_141_001_01	即时转账报文
t_c2_hvps_142_001_01	即时转账排队/撤销通知报文
t_c2_hvps_143_001_01	PVP结算申请信息报文
t_c2_hvps_144_001_01	PVP结算应答信息报文
t_c2_hvps_151_001_01	申请清算银行汇票资金报文
t_c2_hvps_152_001_01	银行汇票全额兑付通知报文
t_c2_hvps_153_001_01	银行汇票申请退回业务报文
t_c2_hvps_710_001_01	大额业务对账申请报文
t_c2_hvps_711_001_01	大额业务汇总核对报文
t_c2_hvps_712_001_01	大额业务明细核对申请报文
t_c2_hvps_713_001_01	大额业务明细核对应答报文
t_c2_hvps_714_001_01	大额业务下载申请报文
t_c2_hvps_715_001_01	大额业务下载应答报文
t_c2_hvps_716_001_01	大额预对账报文
t_c2_hvps_717_001_01	资金拆借信息下载报文
t_c2_beps_121_001_01	客户发起普通贷记业务报文
t_c2_beps_122_001_01	金融机构发起普通贷记业务报文
t_c2_beps_123_001_01	实时贷记业务报文
t_c2_beps_124_001_01	实时贷记回执业务报文
t_c2_beps_125_001_01	定期贷记业务报文
t_c2_beps_127_001_01	普通借记业务报文
t_c2_beps_128_001_01	普通借记业务回执报文
t_c2_beps_130_001_01	CIS通用回执业务报文
t_c2_beps_131_001_01	实时借记业务报文
t_c2_beps_132_001_01	实时借记业务回执报文
t_c2_beps_133_001_01	定期借记业务报文
t_c2_beps_134_001_01	定期借记业务回执报文
t_c2_beps_381_001_01	批量代收代付业务报文
t_c2_beps_382_001_01	批量代收代付回执报文
t_c2_beps_383_001_01	批量代收代付撤销申请报文
t_c2_beps_384_001_01	批量客户签约协议管理报文
t_c2_beps_385_001_01	批量客户签约协议管理应答报文
t_c2_beps_386_001_01	代收代付通用回执报文
t_c2_beps_387_001_01	批量客户账户信息查询报文
t_c2_beps_388_001_01	批量客户账户查询应答报文
t_c2_beps_391_001_01	实时代收代付业务报文
t_c2_beps_392_001_01	实时代收代付回执报文
t_c2_beps_393_001_01	主动缴款查询报文
t_c2_beps_394_001_01	主动缴款查询应答报文
